1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
37.400289,19.241269,1.512246,21.150906,11.704076,97.098347,97.824415,95.668149,96.712086,115.010371,49.528953,0.564544,33.694076,66.265915,35.182464,82.941416,108.462846,49.3335
37.400155,19.274058,1.511773,21.280961,11.910162,97.061852,97.790505,95.631199,96.675643,115.029265,49.663449,0.564563,33.729708,66.278507,35.171659,82.691307,108.439455,49.4053
37.400183,19.271707,1.513016,21.103268,13.061024,97.002382,97.661359,95.600457,96.634881,114.855817,49.862389,0.564481,33.714715,66.318105,35.178324,83.20643,108.18933,49.3884
37.400424,19.246029,1.512674,21.350845,13.179034,97.162082,97.767724,95.710265,96.761785,115.168832,50.505109,0.564483,33.66612,66.296203,35.173219,82.844777,108.448404,49.1395
37.400376,19.21136,1.513045,21.118382,11.627398,97.08456,97.766606,95.666158,96.702898,114.959684,49.531013,0.564532,33.708252,66.308567,35.143795,83.205468,108.380616,49.0379
37.400243,19.262837,1.512357,21.04507,13.215355,97.118716,97.67061,95.699362,96.738654,114.972443,49.745183,0.564394,33.797723,66.309956,35.203945,83.317495,108.297249,48.8892
37.400504,19.241578,1.514284,21.282632,13.075808,97.040796,97.757772,95.624819,96.665031,114.919359,50.506701,0.564479,33.478621,66.277704,35.170296,83.125752,108.278262,48.3391
37.400747,19.233403,1.512701,21.263328,12.027189,97.212874,97.885732,95.758961,96.810377,115.167153,49.839683,0.564521,33.647244,66.28061,35.18784,83.012254,108.456522,48.2155
37.400241,19.269369,1.512267,21.141429,11.477231,97.069119,97.738315,95.6529,96.688271,114.946184,49.462467,0.56455,33.799415,66.347458,35.178846,83.005528,108.35553,48.0494
37.400803,19.250202,1.513108,21.331302,11.172037,97.171027,97.840783,95.732259,96.770911,115.096302,49.672536,0.56455,33.751263,66.393153,35.172483,83.00522,108.428583,48.1935
37.401128,19.255624,1.51526,21.140297,11.441122,97.123377,97.732368,95.716716,96.741302,114.920931,49.600794,0.564476,33.784932,66.479131,35.201591,83.69575,108.332483,48.4163
37.401206,19.226108,1.514138,21.154001,11.53885,97.226025,97.759933,95.797685,96.828937,115.068945,49.616807,0.564475,33.802128,66.442877,35.174893,83.562403,108.390899,48.2916
37.402413,19.276089,1.5164,21.183005,11.3993,97.135967,97.858037,95.727081,96.756801,114.902587,49.736678,0.564464,33.599073,66.380512,35.2713,83.83281,108.301905,48.0315
37.403401,19.311067,1.515077,21.278377,11.504756,97.275402,97.849527,95.846541,96.87837,115.04643,49.86705,0.56445,33.738776,66.468227,35.304243,83.695961,108.315308,47.6888
37.400794,19.353039,1.512335,21.555433,10.776741,97.131572,97.938159,95.697245,96.735208,115.03982,49.621104,0.564574,33.747663,66.410576,35.247386,82.779826,108.320637,47.5929
37.400554,19.289342,1.51348,21.257602,12.400827,97.098432,97.730682,95.678308,96.713769,114.965157,49.959736,0.564499,33.746833,66.396781,35.212742,83.133059,108.341878,47.794
37.401374,19.352675,1.512257,21.24721,12.087103,97.343293,97.81601,95.893511,96.938739,115.185211,49.791832,0.564482,33.818531,66.394378,35.329548,83.285769,108.252837,47.8729
37.400845,19.356326,1.513471,21.241766,12.226298,97.111317,97.755729,95.697175,96.730592,114.921421,49.892752,0.564488,33.742879,66.405779,35.313498,83.306801,108.252671,47.9286
37.400467,19.376381,1.51257,21.359611,12.43908,97.088708,97.71209,95.672332,96.706472,114.94405,50.071446,0.564531,33.78936,66.431969,35.26513,82.9896,108.115222,48.141
37.400809,19.290228,1.513074,21.330273,12.376428,97.168527,97.776569,95.734272,96.774771,115.057555,50.099295,0.564509,33.71769,66.369866,35.214129,83.102386,108.272851,48.2875
37.400425,19.349166,1.51209,21.225718,11.975306,97.140806,97.708272,95.721934,96.754771,114.985701,49.680993,0.564536,33.845064,66.426277,35.240959,83.10535,108.084217,48.6028
37.40226,19.258727,1.515207,21.423446,12.481532,97.174437,97.909321,95.738967,96.783483,115.030948,50.656761,0.564477,33.419867,66.3014,35.219295,83.347832,108.237811,48.5182
37.401281,19.257927,1.513784,21.39066,12.140239,97.179425,97.827002,95.743639,96.784657,115.068807,50.245337,0.564516,33.617485,66.349584,35.182712,83.192157,108.216955,48.518
37.400542,19.275935,1.512299,21.312623,12.423594,97.223727,97.710972,95.78182,96.820925,115.167749,49.983481,0.564521,33.834839,66.427987,35.163538,83.027118,108.185993,48.5607
37.400613,19.307888,1.51277,21.302594,11.267832,97.117394,97.733124,95.702644,96.731299,114.968109,49.66154,0.564554,33.817026,66.46959,35.185704,83.139055,108.087734,48.5713
37.401098,19.284233,1.513845,21.601121,11.271323,97.084706,97.86211,95.663285,96.69894,114.97133,50.195466,0.564564,33.564378,66.376999,35.165543,82.972794,108.081394,48.654
37.400211,19.249509,1.512404,21.275517,11.5416,97.043845,97.680036,95.633019,96.664078,114.947816,49.661716,0.564563,33.818353,66.426874,35.104668,82.92379,108.085441,48.7163
37.400354,19.225247,1.512836,21.285234,11.592214,97.090737,97.704121,95.67168,96.703688,115.00769,49.738003,0.564554,33.795304,66.422319,35.102536,83.016513,108.173272,48.9535
37.400439,19.210831,1.512515,21.174897,11.705538,97.143886,97.740767,95.719257,96.755508,115.039806,49.629782,0.564543,33.751437,66.332995,35.114227,83.208072,108.125428,48.8844
37.400378,19.22997,1.512967,21.068143,11.811167,97.096725,97.663191,95.695358,96.720449,114.918103,49.504195,0.564515,33.831911,66.418125,35.127214,83.591933,108.002006,48.7898
